task_name,folder_tag,base_model,n_layer,n_head,n_embd,state_size,conv_type,num_memory_vectors,read_mode,write_config,pairs_per_segment,learning_rate,avg_em,std_em,all_ems,n_runs
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,64,unpool,pool,1,0.0003,0.5,0.34,"(0.84, 0.16)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,1,128,16.0,ck4,4,identity,identity,16,0.0001,93.54,4.72,"(98.26, 88.82)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,1,128,16.0,ck4,4,identity,identity,16,0.0003,0.56,0.0,"(0.56,)",1
N16-K2V2-V62_1M,rmmv5p7,llama,4,1,128,32.0,ck4,4,identity,identity,16,0.0001,98.49,0.53,"(97.96, 99.02)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,1,128,32.0,ck4,4,identity,identity,16,0.0003,88.96,6.48,"(82.48, 95.44)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,1,128,32.0,ck4,4,identity,identity,16,0.001,98.98,0.04,"(98.94, 99.02)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,4,128,32.0,ck4,4,identity,identity,16,0.0001,43.89,37.53,"(81.42, 6.36)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,4,128,32.0,ck4,4,identity,identity,16,0.0003,44.13,37.49,"(6.64, 81.62)",2
N16-K2V2-V62_1M,rmmv5p7,llama,4,4,128,32.0,ck4,4,identity,identity,16,0.001,0.22,0.0,"(0.22,)",1
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,1,0.0001,37.22,40.36,"(47.48, 99.0, 1.2, 1.2)",4
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,1,0.0003,26.57,42.08,"(99.3, 6.86, 0.08, 0.04)",4
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,2,0.0001,38.96,14.5,"(24.46, 53.46)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,2,0.0003,0.07,0.01,"(0.08, 0.06)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,16,0.0001,1.0,0.2,"(1.2, 0.8)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,16,0.0003,0.42,0.06,"(0.36, 0.48)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,4,N/A,N/A,1,0.0001,99.14,0.0,"(99.14,)",1
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,4,N/A,N/A,1,0.0003,49.71,49.55,"(99.26, 0.16)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,1,0.0001,50.32,48.78,"(99.1, 99.08, 1.44, 1.64)",4
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,1,0.0003,49.54,49.48,"(99.02, 99.02, 0.08, 0.04)",4
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,2,0.0001,99.04,0.02,"(99.06, 99.02)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,2,0.0003,3.49,3.33,"(6.82, 0.16)",2
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,16,0.0001,1.36,0.0,"(1.36,)",1
N16-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,16,0.0003,1.2,0.02,"(1.22, 1.18)",2
N2-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,99.98,0.02,"(99.96, 99.98, 100.0)",3
N2-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.001,99.07,0.69,"(99.02, 98.24, 99.94)",3
N2-K2V2-V62_1M,recurrent_baselines,mamba,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,99.89,0.08,"(99.82, 99.86, 100.0)",3
N2-K2V2-V62_1M,recurrent_baselines,mamba,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.001,99.91,0.09,"(99.78, 99.94, 100.0)",3
N2-K2V2-V62_1M,recurrent_baselines,mamba2,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,99.61,0.29,"(99.24, 99.94, 99.66)",3
N2-K2V2-V62_1M,recurrent_baselines,mamba2,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.001,99.79,0.07,"(99.88, 99.74, 99.74)",3
N2-K2V2-V62_1M,rmmv5,llama,4,4,128,32.0,ck4,1,unpool,pool,0,5e-05,97.12,0.0,"(97.12,)",1
N2-K2V2-V62_1M,rmmv5,llama,4,4,128,32.0,ck4,1,unpool,pool,0,0.0001,94.8,0.0,"(94.8,)",1
N2-K2V2-V62_1M,rmmv5,llama,4,4,128,32.0,ck4,1,unpool,pool,0,0.0003,95.5,0.92,"(96.42, 94.58)",2
N2-K2V2-V62_1M,rmmv5p,llama,4,4,128,32.0,ck4,1,unpool,pool,0,5e-05,27.7,0.0,"(27.7,)",1
N2-K2V2-V62_1M,rmmv5p,llama,4,4,128,32.0,ck4,1,unpool,pool,0,0.0001,99.0,0.0,"(99.0,)",1
N2-K2V2-V62_1M,rmmv5p,llama,4,4,128,32.0,ck4,1,unpool,pool,0,0.0003,98.46,0.0,"(98.46,)",1
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,1,unpool,pool,1,5e-05,99.16,0.12,"(99.04, 99.28)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,1,unpool,pool,1,0.0001,99.14,0.08,"(99.06, 99.22)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,1,unpool,pool,1,0.0003,99.28,0.18,"(99.46, 99.1)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,2,unpool,pool,0,5e-05,99.08,0.02,"(99.1, 99.06)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,2,unpool,pool,0,0.0001,99.02,0.02,"(99.04, 99.0)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,2,unpool,pool,0,0.0003,74.71,22.21,"(52.5, 96.92)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,2,unpool,pool,1,5e-05,99.11,0.01,"(99.1, 99.12)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,2,unpool,pool,1,0.0001,99.33,0.33,"(99.0, 99.66)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,2,unpool,pool,1,0.0003,93.52,5.82,"(99.34, 87.7)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,4,unpool,pool,1,5e-05,99.14,0.14,"(99.28, 99.0)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.0001,99.24,0.0,"(99.24, 99.24)",2
N2-K2V2-V62_1M,rmmv5p1,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.0003,97.09,2.45,"(94.64, 99.54)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,1,5e-05,99.02,0.02,"(99.0, 99.04)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,1,0.0001,99.05,0.05,"(99.1, 99.0)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,1,0.0003,74.96,22.62,"(52.34, 97.58)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,2,unpool,pool,1,5e-05,99.03,0.01,"(99.02, 99.04)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,2,unpool,pool,1,0.0001,99.17,0.05,"(99.12, 99.22)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,2,unpool,pool,1,0.0003,99.16,0.08,"(99.08, 99.24)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,4,unpool,pool,1,5e-05,99.33,0.31,"(99.64, 99.02)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.0001,99.28,0.08,"(99.2, 99.36)",2
N2-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.0003,99.37,0.07,"(99.3, 99.44)",2
N2-K2V2-V62_1M,rmmv5p2-sw,llama,4,4,128,32.0,ck4,2,unpool,pool,1,5e-05,99.11,0.05,"(99.06, 99.16)",2
N2-K2V2-V62_1M,rmmv5p2-sw,llama,4,4,128,32.0,ck4,2,unpool,pool,1,0.0001,99.03,0.01,"(99.04, 99.02)",2
N2-K2V2-V62_1M,rmmv5p2-sw,llama,4,4,128,32.0,ck4,2,unpool,pool,1,0.0003,99.13,0.13,"(99.0, 99.26)",2
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,1,0.0001,99.21,0.19,"(99.44, 99.36, 99.04, 99.0)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,1,0.0003,99.12,0.11,"(99.1, 99.06, 99.0, 99.3)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,4,0.0001,51.62,0.0,"(51.62,)",1
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,1,N/A,N/A,4,0.0003,51.79,0.17,"(51.62, 51.96)",2
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,2,N/A,N/A,1,0.0001,99.17,0.21,"(99.46, 99.08, 99.24, 98.9)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,2,N/A,N/A,1,0.0003,90.08,15.94,"(99.5, 99.06, 62.48, 99.28)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,4,N/A,N/A,1,0.0001,99.15,0.1,"(99.24, 99.24, 99.0, 99.12)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,4,N/A,N/A,1,0.0003,87.34,20.4,"(99.1, 99.22, 99.04, 52.0)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,1,0.0001,99.14,0.11,"(99.18, 99.1, 99.3, 99.0)",4
N2-K2V2-V62_1M,segment_baselines,llama,4,4,128,,N/A,8,N/A,N/A,1,0.0003,99.1,0.06,"(99.12, 99.18, 99.06, 99.02)",4
N32-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,1,128,16.0,ck2,-1,N/A,N/A,-1,0.001,1.17,1.54,"(3.34, 0.14, 0.02)",3
N32-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,1,128,16.0,ck4,-1,N/A,N/A,-1,0.001,2.78,0.65,"(3.18, 1.86, 3.3)",3
N32-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,0.53,0.6,"(0.08, 1.38, 0.14)",3
